,AccelerationX,AccelerationY,AccelerationZ,GyroscopeX,GyroscopeY,GyroscopeZ,Label
0,0.0546875,-0.470657349,-0.864486694,-0.321524501,-0.256350547,-0.650070667,Moving 
1,0.025878906,-0.478775024,-0.92880249,-0.146250159,-0.464345038,-0.887411892,Moving 
2,0.067138672,-0.425949097,-0.877700806,-0.036815006,-0.068585984,-0.780473173,Moving 
3,0.0730896,-0.424285889,-0.846618652,-0.074183151,0.236371517,-0.603916228,Moving 
4,0.077804565,-0.401306152,-0.841629028,0.01395816,-0.337106645,-0.670155168,Moving 
5,0.100067139,-0.430175781,-0.814315796,-0.097527623,-0.399236351,-0.608359754,Moving 
6,0.036178589,-0.424942017,-0.894775391,0.048731588,-0.144245058,-0.544423342,Moving 
7,0.101089478,-0.446548462,-0.902618408,0.548344314,-0.198152497,-0.471069783,Moving 
8,0.150100708,-0.49395752,-0.835922241,0.604797244,-0.655439079,-0.365416855,Moving 
9,0.078552246,-0.49357605,-0.924758911,0.143998712,-0.594347239,-0.481715232,Moving 
10,0.143692017,-0.493484497,-0.930847168,0.132560179,-0.312210351,-0.441429585,Moving 
11,0.155349731,-0.536819458,-0.836288452,0.308683813,-0.724095404,-0.589158356,Moving 
12,0.137359619,-0.518463135,-0.885559082,0.544079304,-0.863140643,-0.716213226,Moving 
13,0.12991333,-0.570678711,-0.82472229,0.167004704,-0.650474429,-0.761768699,Moving 
14,0.118804932,-0.547439575,-0.88508606,-0.230198324,-0.534102559,-0.664110065,Moving 
15,0.076309204,-0.535247803,-0.945922852,0.386266738,-0.408989638,-0.860126436,Moving 
16,0.16305542,-0.508270264,-0.737838745,0.492081314,-0.330391496,-0.914385676,Moving 
17,0.233184814,-0.532272339,-0.627456665,0.228408679,-0.34172377,-0.910131037,Moving 
18,0.231918335,-0.471069336,-0.722473145,0.083796896,-0.568354785,-0.72631222,Moving 
19,0.227890015,-0.514312744,-0.785919189,0.17336379,-0.282901466,-0.786963046,Moving 
20,0.2840271,-0.538452148,-0.682159424,0.008914133,-0.625206113,-0.495859563,Moving 
21,0.220001221,-0.578125,-0.649429321,-0.488859445,-0.643831193,-0.195708245,Moving 
22,0.229675293,-0.587753296,-0.744506836,-0.680764675,-0.496959716,-0.042147987,Moving 
23,0.208251953,-0.527832031,-0.868377686,-0.481266767,-0.173708409,0.16670163,Moving 
24,0.22479248,-0.547119141,-0.836242676,-0.460698634,0.119802564,0.315285772,Moving 
25,0.184204102,-0.514419556,-0.842544556,-0.732377827,0.574563444,0.439196795,Moving 
26,0.18057251,-0.534729004,-0.904388428,-0.947254181,1.053735018,0.585934579,Moving 
27,0.053817749,-0.551635742,-0.932189941,-0.752675354,0.885798812,0.297174424,Moving 
28,0.074996948,-0.51663208,-0.875213623,-0.890372217,0.73879683,-0.024643295,Moving 
29,0.107284546,-0.451950073,-0.978652954,-0.764942944,0.780498981,-0.015250325,Moving 
30,0.036392212,-0.423294067,-0.869186401,-0.786770463,0.429110348,-0.333952665,Moving 
31,0.119125366,-0.414459229,-0.878417969,-0.387178868,0.236650094,-0.249228999,Moving 
32,-0.022460938,-0.345397949,-0.583435059,-1.09653604,0.031172033,-0.904312551,Moving 
33,-0.884475708,-0.469528198,-1.460235596,-0.571024358,0.289612383,-2.769941092,Moving 
34,0.852737427,0.37046814,-0.775360107,-0.42362982,-1.389008164,-0.148939684,Moving 
35,0.190765381,-0.062362671,-0.843811035,-0.391518503,-0.210659772,-0.783245802,Moving 
36,0.106201172,0.029144287,-0.584838867,0.593958676,-0.426009625,-4.498813152,Moving 
37,0.281326294,-0.474136353,-0.814361572,0.820331633,5.360295773,-1.700537801,Moving 
38,0.015762329,-0.034225464,-0.58416748,-0.136201784,1.820698023,-0.907687843,Moving 
39,0.532974243,0.108413696,-0.661270142,2.473448038,2.345258236,-0.425647169,Moving 
40,0.636383057,0.098327637,-0.418746948,0.014349644,2.3592875,-2.824881792,Moving 
41,0.590133667,0.128982544,-0.439453125,-0.771090031,1.74594152,-2.354656696,Moving 
42,0.512939453,0.544113159,-0.659942627,-1.715699434,2.590140104,-3.327910423,Moving 
43,0.668533325,0.636367798,-0.34538269,-1.927899361,2.773732662,-3.379483223,Moving 
44,0.875015259,0.746704102,-0.872512817,-0.374511033,3.577107906,-3.269693851,Moving 
45,0.697784424,0.809265137,-0.555999756,1.142588019,3.946909428,-3.416710854,Moving 
46,0.896652222,1.052062988,-0.343673706,1.189866543,3.713264704,-5.100299835,Moving 
47,1.656417847,1.046401978,-0.122589111,0.872551978,2.544621468,-3.936052561,Moving 
48,1.481231689,1.029815674,-0.134552002,-0.605123997,-0.077869765,-2.802014589,Moving 
49,1.606521606,1.199859619,-0.473815918,-1.817932844,-2.705421448,-2.208181858,Moving 
50,1.645690918,0.785873413,-0.819015503,-0.588934124,-3.727334738,-0.565188289,Moving 
51,1.610290527,0.181762695,-0.42388916,0.433972478,-4.452951908,1.629742503,Moving 
52,1.203567505,0.404769897,-0.043548584,-0.036572393,-3.030472755,3.613375664,Moving 
53,0.660293579,0.90284729,-0.082458496,0.312465489,0.606908858,3.519872189,Moving 
54,0.440963745,0.909454346,-0.808609009,2.700551271,4.21178627,2.389482737,Moving 
55,0.811080933,0.729278564,-0.584472656,3.171882391,3.182038307,1.896307588,Moving 
56,0.749801636,0.542694092,-0.238510132,1.520823121,0.402062744,1.127241254,Moving 
57,0.624847412,0.400848389,-0.08152771,1.253303289,1.789637327,0.336480021,Moving 
58,0.613708496,0.327987671,0.010818481,1.454816937,1.883134007,0.994563103,Moving 
59,0.457748413,0.297897339,-0.201858521,2.28726244,3.444450617,0.698749542,Moving 
60,0.560668945,0.164123535,-0.015853882,2.024184227,2.477918148,0.416290164,Moving 
61,0.634353638,0.194000244,0.183807373,1.234202623,1.08380425,0.119983397,Moving 
62,1.132720947,0.076324463,0.358108521,0.340174884,0.753872454,0.627680957,Moving 
63,1.208908081,-0.046112061,0.577194214,-0.576620996,1.070225596,1.070685029,Moving 
64,1.167114258,0.214981079,0.085708618,0.34672758,0.723764062,1.164156079,Moving 
65,1.178787231,0.08102417,0.233932495,-0.04060575,0.022347916,1.459628224,Moving 
66,0.997650146,0.223907471,0.08241272,-0.903635025,-0.539339364,0.98153919,Moving 
67,1.08770752,0.199691772,-0.307022095,0.020869063,-0.674665511,0.38855812,Moving 
68,0.767929077,0.341659546,-0.190353394,1.130910873,-0.216108069,0.366161466,Moving 
69,0.843276978,0.529647827,-0.282821655,1.670976758,1.247358084,-0.243635565,Moving 
70,1.035446167,0.302810669,-0.155792236,1.05411458,0.171589598,-0.187005043,Moving 
71,0.848678589,0.271270752,-0.303222656,0.101250723,-0.935610533,-1.094547987,Moving 
72,0.688232422,0.09173584,0.08013916,0.299442381,0.23795265,-1.736028671,Moving 
73,0.74520874,0.030609131,-0.13873291,0.997837722,0.734784007,-3.055916548,Moving 
74,0.868652344,0.082321167,0.255905151,0.239305526,0.440786719,-4.345694065,Moving 
75,0.861190796,0.480010986,0.098007202,-0.504286885,0.358208209,-5.526961327,Moving 
76,0.787826538,0.598922729,-0.012527466,0.443476498,0.62445426,-5.965261459,Moving 
77,0.954101563,0.994338989,0.337692261,0.330354214,-1.648171782,-0.534609616,Moving 
78,0.629348755,0.828292847,0.329421997,0.002752377,-0.502230644,0.517388523,Moving 
79,0.602630615,0.817886353,0.046966553,0.072200693,-0.546101391,-0.564180315,Moving 
80,0.796020508,0.936767578,0.163238525,0.16693759,-0.735651135,-1.189056158,Moving 
81,0.71875,0.822509766,0.355178833,-0.8460024,-0.280639648,-0.428894639,Moving 
82,0.706710815,0.759246826,0.233123779,-0.705383778,0.955591202,-0.793301105,Moving 
83,0.672286987,0.8228302,0.237380981,-0.299215198,2.088515997,-1.440696955,Moving 
84,0.30241394,0.68687439,0.210540771,-0.514485419,1.993121743,-1.836100101,Moving 
85,0.167984009,0.656326294,0.165725708,-1.107423902,1.17701304,-2.914377689,Moving 
86,0.008270264,0.405410767,0.172698975,-1.925168514,-1.64806819,-3.762104988,Moving 
87,0.060699463,0.323516846,0.337661743,-2.015857458,-5.22172308,-2.3552773,Moving 
88,-0.026519775,0.883865356,0.599197388,1.237408757,-2.472776651,-0.527657151,Moving 
89,-0.30166626,2.804351807,-0.340698242,2.374489069,5.107953072,1.06889081,Moving 
90,0.143966675,1.278106689,0.03302002,-1.517137885,-0.883010745,1.79112494,Moving 
91,-0.147476196,0.217788696,-0.141830444,0.167871565,2.04634285,0.762018561,Moving 
92,-0.29989624,0.419570923,-0.184829712,1.786163211,0.256787837,-0.092946984,Moving 
93,-0.284912109,0.77671814,-0.136993408,2.207163811,-0.909115314,-0.321433425,Moving 
94,-0.261627197,1.46383667,0.305541992,1.335071921,-0.463001728,-0.73396641,Moving 
95,1.088989258,1.791473389,1.50541687,-1.188509107,-0.571180403,1.387673378,Moving 
96,0.327133179,0.385528564,0.322525024,0.423821568,0.614895403,-0.20910795,Moving 
97,-0.509658813,1.981994629,-0.390548706,0.478165507,-1.680301189,-0.969065189,Moving 
98,-0.07510376,1.01600647,-0.317184448,-0.381017387,-0.798618913,0.66589123,Moving 
99,-0.113479614,0.24180603,-0.261032104,0.491125256,0.98725301,-0.193015799,Moving 
100,-0.09753418,0.915008545,-0.306793213,0.526901364,2.266689062,-1.564361334,Moving 
101,0.172332764,1.364532471,-0.625518799,1.268833756,0.073395386,-0.171169087,Moving 
102,0.122894287,0.851577759,-0.435668945,1.864578724,-1.791355371,0.25104475,Moving 
103,0.096466064,0.719848633,-0.102371216,1.44551158,-2.205571651,0.041878209,Moving 
104,0.038391113,1.090270996,-0.032318115,0.592093945,-3.095996618,-0.162694111,Moving 
105,0.263427734,1.147201538,0.092910767,1.196596384,-4.513986111,-0.343568295,Moving 
106,0.286819458,0.946060181,0.079223633,0.040884849,-0.198233724,-0.248725399,Moving 
107,0.161972046,1.024765015,0.002929688,0.210260034,0.98288697,-0.073316023,Moving 
108,0.035339355,1.030441284,-0.051773071,-0.12219888,0.69212544,-0.211502388,Moving 
109,-0.001815796,1.018066406,-0.176574707,0.193250149,-0.965843558,-0.174916416,Moving 
110,0.153823853,1.022750854,-0.136749268,0.032429047,-1.430753708,-0.398174018,Moving 
111,0.273773193,0.949050903,-0.154266357,-0.215895548,-0.058032941,-0.328284413,Moving 
112,0.329711914,0.987640381,-0.077209473,0.173768058,-1.24580729,-0.176668778,Moving 
113,0.214904785,1.280487061,0.02784729,-0.045224205,-1.988977909,0.462246478,Moving 
114,0.232894897,1.353988647,0.351577759,-1.058596134,-1.589835525,0.695041895,Moving 
115,0.186859131,0.836471558,0.533111572,-2.736482859,0.438979745,1.62541616,Moving 
116,-0.262313843,1.06867981,0.068145752,-3.011666775,1.682569504,1.799092293,Moving 
117,-0.357086182,1.746963501,-0.405044556,-2.663373709,-1.333788872,0.791995585,Moving 
118,-0.229736328,1.266586304,-0.097183228,-0.620096028,-1.729638696,0.706321478,Moving 
119,0.250305176,0.999481201,0.416107178,-1.151535153,0.915230453,1.005786777,Moving 
120,0.184371948,0.737121582,-0.192962646,-0.82279402,1.042987943,0.980278969,Moving 
121,-0.020324707,0.660202026,-0.093078613,-1.118300438,0.862240195,0.240480512,Moving 
122,-0.197296143,0.546722412,-0.07170105,-0.298413336,0.480883271,-0.06471242,Moving 
123,-0.218902588,0.544143677,-0.088500977,0.923997819,-0.252288431,-0.385001749,Moving 
124,-0.1771698,0.669631958,-0.02331543,1.562827587,-1.165028811,-0.813168526,Moving 
125,-0.041137695,1.031280518,0.32723999,1.561349273,-1.163765669,-0.775047779,Moving 
126,0.926345825,1.894989014,1.386520386,0.316326022,1.361961365,-0.007003315,Moving 
127,0.552276611,0.530670166,0.92427063,-0.465672076,-0.722706258,-0.010041449,Moving 
128,0.10925293,1.71762085,-0.369247437,1.777473807,0.236423984,-0.465092063,Moving 
129,0.159912109,1.216400146,-0.1900177,-0.128737211,-0.591696858,0.740194201,Moving 
130,-0.267730713,0.24609375,-0.024230957,0.608189821,-0.886369228,-0.005673865,Moving 
131,-0.244873047,1.077911377,-0.009780884,0.866104484,-0.938832164,-0.779716551,Moving 
132,-0.07043457,1.039855957,-0.237030029,0.03242958,-1.065112352,-0.451031089,Moving 
133,0.103240967,0.973724365,-0.231796265,-0.121379957,0.018631475,-0.693456233,Moving 
134,0.27645874,1.056976318,-0.31362915,0.466791958,1.495424271,-0.550408304,Moving 
135,0.298706055,0.98085022,-0.193069458,0.885565758,1.391768217,-0.205821335,Moving 
136,0.150268555,0.925369263,0.016159058,0.762569547,-2.586670399,0.165646493,Moving 
137,0.088302612,1.05178833,0.063598633,0.07142438,-3.914370537,0.177005142,Moving 
138,0.190643311,1.074157715,0.115615845,0.171531007,-2.664824247,-0.067556143,Moving 
139,0.212844849,0.963226318,0.055023193,-0.246539742,0.839687765,0.05039686,Moving 
140,0.029846191,1.004455566,-0.081115723,-0.274493605,1.014597774,-0.07516852,Moving 
141,0.056274414,0.955322266,-0.146377563,-0.038232606,-0.330223709,-0.116383597,Moving 
142,0.070220947,0.981613159,-0.126922607,0.217912883,-1.446353197,-0.213674471,Moving 
143,0.12663269,1.00302124,-0.085968018,0.271719396,-1.472257972,-0.381710619,Moving 
144,0.235168457,1.014404297,-0.048324585,0.287612617,-1.091082215,-0.422089458,Moving 
145,0.290710449,0.980453491,-0.029922485,0.015584553,-0.519412041,-0.306920528,Moving 
146,0.172622681,0.998443604,-0.02130127,-0.161893561,-0.568151355,-0.160317242,Moving 
147,0.132583618,1.173904419,-0.041824341,-0.462837696,-0.453473479,0.258497328,Moving 
148,-0.026062012,1.17326355,-0.07925415,-0.370462209,-1.413068175,0.187926233,Moving 
149,-0.090591431,0.96812439,-0.044662476,-0.715920269,-1.345826626,0.078953408,Moving 
150,-0.187789917,0.86428833,-0.03692627,-0.861962974,-0.800654054,-0.041394845,Moving 
151,-0.133804321,0.989883423,-0.032989502,-0.807897329,-0.541052878,-0.142727852,Moving 
152,-0.081008911,1.044006348,-0.015197754,-0.877412498,-0.976003528,-0.100179866,Moving 
153,-0.141876221,1.01361084,-0.037353516,-0.883203566,-1.302551031,-0.162384912,Moving 
154,-0.134719849,0.971511841,-0.034255981,-0.563198626,-1.149712682,-0.262278229,Moving 
155,-0.056121826,0.952972412,0.033477783,-0.131240577,-0.756290853,-0.202270553,Moving 
156,-0.145141602,0.957687378,-0.041351318,-0.215705395,-1.372800112,-0.092305958,Moving 
157,-0.289474487,0.951599121,-0.053115845,0.098384097,-1.408798099,-0.337575376,Moving 
158,-0.26461792,0.956756592,0.018463135,0.366794258,-0.690775275,-0.61690557,Moving 
159,-0.020050049,0.952285767,0.058288574,0.502816796,-0.583283424,-0.621299744,Moving 
160,0.12612915,1.010955811,0.109512329,0.659716368,-0.911637306,-0.36666134,Moving 
161,0.214767456,1.006057739,0.124099731,0.546251059,-1.864435911,0.062832229,Moving 
162,0.075454712,0.929946899,0.039489746,0.334248006,-2.182286024,0.344614655,Moving 
163,-0.250549316,1.000137329,0.055374146,0.609921932,-1.553802729,0.040306944,Moving 
164,-0.35609436,1.020523071,0.17779541,0.41555354,-0.981850743,-0.350468278,Moving 
165,-0.253356934,1.056259155,0.178985596,-0.174828798,-1.314973116,-0.525022745,Moving 
166,-0.090393066,1.003814697,0.015457153,-0.489438415,-1.672726393,-0.536696196,Moving 
167,0.066223145,0.946731567,-0.082397461,-0.459740162,-1.551064134,-0.361650079,Moving 
168,0.034194946,0.943984985,-0.077835083,0.217321664,-1.358012438,-0.084243774,Moving 
169,-0.083755493,0.925567627,0.171890259,0.564999223,-0.605181754,0.140661508,Moving 
170,0.086486816,0.888366699,0.120193481,0.022770293,-1.731684566,0.567070365,Moving 
